economy,time,Country,Time,DT.DOD.DECT.GN.ZS,FP.CPI.TOTL.ZG,GC.DOD.TOTL.GD.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,SI.POV.GINI,SL.UEM.TOTL.ZS
ARG,YR1982,Argentina,1982,55.2560428399715,,,-0.735659159103619,9365.68465387847,,
ARG,YR1981,Argentina,1981,46.6013548308641,,,-5.18978914135593,9587.67379423426,,
ARG,YR1980,Argentina,1980,35.8155600377188,,,1.51878394990179,10275.7987023886,40.8,
ARG,YR1979,Argentina,1979,30.8582520740321,,,10.2227634638681,10284.6064087552,,
ARG,YR1978,Argentina,1978,15.2650083179408,,,-4.50612480201359,9480.94009490414,,
ARG,YR1977,Argentina,1977,20.7240052370103,,,6.93414775653342,10088.3374871635,,
ARG,YR1976,Argentina,1976,18.5632714477505,,,-2.01825151683394,9584.74851751038,,
ARG,YR1975,Argentina,1975,14.8670877222983,,,-0.0284121037110907,9936.49583447894,,
ARG,YR1974,Argentina,1974,10.7299634680028,,,5.5338043957736,10100.4469136163,,
ARG,YR1973,Argentina,1973,13.9876910704174,,,2.81175403849035,9729.53258885903,,
ARG,YR1972,Argentina,1972,20.1576140700061,,,1.62841651825939,9617.68814943737,,
ARG,YR1971,Argentina,1971,18.8909751518718,,,5.65813108184925,9614.61061692134,,
ARG,YR1970,Argentina,1970,19.3878463641955,,,3.04564331917115,9244.12251785153,,
ARG,YR1969,Argentina,1969,,,,9.67952601078326,9111.9459748551,,
ARG,YR1968,Argentina,1968,,,,4.82250077932424,8436.30856351031,,
ARG,YR1967,Argentina,1967,,,,3.19199662339177,8172.27456469042,,
ARG,YR1966,Argentina,1966,,,,-0.659726170629824,8041.22487411475,,
ARG,YR1965,Argentina,1965,,,,10.5694333376394,8219.55155637229,,
ARG,YR1964,Argentina,1964,,,,10.1302976615431,7551.02490778789,,
ARG,YR1963,Argentina,1963,,,,-5.30819682539126,6967.75019555221,,
ARG,YR1962,Argentina,1962,,,,-0.852021521903339,7480.27172420174,,
ARG,YR1961,Argentina,1961,,,,5.42784287621933,7670.59545571641,,
ARG,YR1960,Argentina,1960,,,,,7397.10965495682,,
MEX,YR2023,Mexico,2023,34.0722892134803,5.52796087314389,45.0297603114434,3.35354140652768,10259.1766616403,,2.765
MEX,YR2022,Mexico,2022,40.8971913213688,7.8962761916855,43.9694401399305,3.70975709163623,10013.2479236143,43.5,3.256
MEX,YR2021,Mexico,2021,46.8965782589805,5.68920847683753,44.8609557938384,6.0484834621255,9728.05680032556,,4.019
MEX,YR2020,Mexico,2020,56.8349663684666,3.39683415570006,45.8373464334068,-8.35403458167995,9234.64362317923,44.6,4.44
MEX,YR2019,Mexico,2019,48.7169187460769,3.63596142127046,41.3273940507878,-0.392690505066824,10159.4448364319,,3.477
MEX,YR2018,Mexico,2018,49.1902287834628,4.89935015356551,,1.97208209405635,10296.8690928534,46.0,3.275
MEX,YR2017,Mexico,2017,49.85860000761,6.04145724018986,,1.87172853327193,10193.7727193457,,3.419
MEX,YR2016,Mexico,2016,50.2965927131738,2.8217078474766,,1.77249323845399,10100.5021214015,46.9,3.853
MEX,YR2015,Mexico,2015,45.4803129174973,2.72064064964023,,2.70232342550646,10021.2386118827,,4.311
